### CROSS VALIDATION GLOBAL RESULTS ###

DATE                | ITERATIONS | RECORDS | TP    | TN    | FP    | FN    | ACCU. | SPEC. | SENS. | PREC. | GMEAN | AUC   | F1    | MCC    |
2015-01-10 20:19:28 | 10         | 1640    | 41.400 | 40.200 | 39.300 | 43.100 | 0.498 | 0.505 | 0.489 | 0.000 | 0.496 | 0.744 | 0.500 | -0.006 | 
2015-01-10 20:20:18 | 10         | 1640    | 40.800 | 43.300 | 40.300 | 39.600 | 0.513 | 0.519 | 0.505 | 0.000 | 0.511 | 0.752 | 0.502 | +0.024 | 
2015-01-10 20:20:52 | 10         | 1640    | 42.800 | 38.900 | 41.800 | 40.500 | 0.498 | 0.482 | 0.514 | 0.000 | 0.497 | 0.757 | 0.509 | -0.004 | 
2015-01-10 20:22:10 | 10         | 1640    | 40.800 | 40.400 | 43.900 | 38.900 | 0.495 | 0.480 | 0.510 | 0.000 | 0.494 | 0.755 | 0.495 | -0.010 | 
2015-01-10 20:22:38 | 10         | 1640    | 41.900 | 37.900 | 43.300 | 40.900 | 0.487 | 0.468 | 0.507 | 0.000 | 0.486 | 0.753 | 0.498 | -0.026 | 
2015-01-10 20:23:18 | 10         | 1640    | 43.000 | 39.200 | 39.300 | 42.500 | 0.501 | 0.499 | 0.503 | 0.000 | 0.498 | 0.752 | 0.510 | +0.002 | 
2015-01-10 20:23:31 | 10         | 1640    | 40.500 | 39.200 | 41.300 | 43.000 | 0.486 | 0.485 | 0.486 | 0.000 | 0.485 | 0.743 | 0.490 | -0.028 | 
2015-01-10 20:25:03 | 10         | 1640    | 43.300 | 42.300 | 39.700 | 38.700 | 0.522 | 0.516 | 0.527 | 0.000 | 0.520 | 0.763 | 0.523 | +0.043 | 
2015-01-10 20:25:32 | 10         | 1640    | 40.700 | 41.100 | 40.400 | 41.800 | 0.499 | 0.504 | 0.492 | 0.000 | 0.496 | 0.746 | 0.495 | -0.005 | 
2015-01-10 20:25:55 | 10         | 1640    | 38.600 | 44.200 | 41.800 | 39.400 | 0.505 | 0.515 | 0.494 | 0.000 | 0.503 | 0.747 | 0.486 | +0.009 | 
2015-01-10 20:26:58 | 10         | 1640    | 42.700 | 40.700 | 41.100 | 39.500 | 0.509 | 0.497 | 0.519 | 0.000 | 0.506 | 0.759 | 0.512 | +0.016 | 
2015-01-10 20:27:55 | 10         | 1640    | 44.200 | 39.000 | 39.100 | 41.700 | 0.507 | 0.500 | 0.515 | 0.000 | 0.506 | 0.758 | 0.523 | +0.015 | 
2015-01-10 20:28:16 | 10         | 1640    | 41.300 | 40.500 | 43.500 | 38.700 | 0.499 | 0.482 | 0.514 | 0.000 | 0.497 | 0.757 | 0.499 | -0.003 | 
2015-01-10 20:28:44 | 10         | 1640    | 42.600 | 40.900 | 41.600 | 38.900 | 0.509 | 0.494 | 0.524 | 0.000 | 0.508 | 0.762 | 0.513 | +0.017 | 
2015-01-10 20:29:04 | 10         | 1640    | 40.500 | 39.900 | 40.800 | 42.800 | 0.490 | 0.495 | 0.486 | 0.000 | 0.490 | 0.743 | 0.492 | -0.018 | 
2015-01-10 20:31:56 | 10         | 1640    | 41.800 | 40.000 | 40.700 | 41.500 | 0.499 | 0.495 | 0.500 | 0.000 | 0.495 | 0.750 | 0.502 | -0.005 | 
2015-01-10 20:32:49 | 10         | 1640    | 43.900 | 41.900 | 39.100 | 39.100 | 0.523 | 0.519 | 0.529 | 0.000 | 0.523 | 0.765 | 0.528 | +0.048 | 
2015-01-10 20:34:00 | 10         | 1640    | 39.700 | 39.600 | 44.600 | 40.100 | 0.484 | 0.470 | 0.496 | 0.000 | 0.481 | 0.748 | 0.481 | -0.034 | 
2015-01-10 20:34:33 | 10         | 1640    | 38.300 | 43.700 | 44.100 | 37.900 | 0.500 | 0.497 | 0.505 | 0.000 | 0.498 | 0.752 | 0.483 | +0.002 | 
